ID,Type,Speaker,Expression,Text,Background,Music,Item,Effect,NextID
follow_footprints,대사,watson,,"당신이 발자국을 따라간다.

진흙 자국이 복도를 따라... 계단으로 이어진다.

1층으로 내려간 흔적.

그리고... 부엌 쪽으로.

[왓슨]: (부엌...?)

부엌 문 앞에서 발자국이 끊긴다.

문을 열고 들어가자...

부엌 바닥에 낡은 양탄자가 깔려있다. 주변에 진흙 자국이 있다.

[왓슨]: (진흙이... 여기서 끝나는군. 범인이 여기까지 왔다가 흔적을 지운 건가?)

홈즈의 목소리가 뒤에서 들린다.

[홈즈]: 왓슨, 무슨 일인가?

당신이 돌아본다.

[왓슨]: 홈즈! 누군가 부엌까지 왔던 것 같아. 하지만 여기서 흔적이 끊겼어.

홈즈가 다가와 바닥을 살핀다.

[홈즈]: 흥미롭군. 의도적으로 흔적을 지운 것 같네. 더 조사해봐야겠어.",hallway,,,,CHOICE:kitchen_entrance|main_entrance
footprints_reveal,대사,watson,,"발자국은 뒤뜰로 이어진다. 하지만 더 조사하려면 저택 내부를 먼저 확인해야 할 것 같다.

[홈즈]: 일단 저택 안으로 들어가자. 발자국은 나중에 다시 확인하면 돼.",,,,,CHOICE:main_entrance|investigate_carriage
speculate_woman,대사,watson,,"여성이라... 하인일까?

[즈]: 가능성은 있지. 하지만 하인라면 왜 담벼락 근처를 걸었을까? 정문을 당당히 사용했을 텐데.

[왓슨]: 그럼 방문객?

[홈즈]: 혹은 목격자. 아니면... 공범.

홈즈가 의미심장하게 미소 짓는다.

[홈즈]: 추측만으로는 부족해. 증거를 찾아보자고.",,,,,CHOICE:follow_footprints|main_entrance
watson_independent_choice,대사,watson,,"""홈즈, 나는 직접 조사를 시작해보겠네.""

홈즈가 놀란 표정으로 나를 본다.

[홈즈]: 오? 자네가 먼저 움직이겠다고? 흥미롭군.

[왓슨]: 자네 말대로, 데이터 수집이 먼저니까.

홈즈가 껄껄 웃는다.

[홈즈]: 좋아! 자네 직감을 믿어보게. 어디부터 시작할 건가?",,,,,CHOICE:watson_investigates_carriage|watson_checks_walls|watson_checks_lock
watson_investigates_carriage,대사,watson,,"나는 마차로 다가갔다.

낡은 4인승 마차. 문은 잠기지 않았다.

안을 들여다보니... 좌석에 담요가 있다. 누군가 이 마차에서 잤던 것 같다.

[왓슨]: 홈즈, 이거 봐. 누군가 여기서 대기했어.

홈즈가 담요를 집어든다.

[홈즈]: 마차꾼의 것이야. 냄새가... 말과 가죽 냄새. 그리고... 담배.",,,,,CHOICE:ask_hope_name|search_carriage|main_entrance
ask_hope_name,나레이션,,,"[호프]: ""...누구시오?""

내가 그 남자에게 다가갔다.

""존 왓슨입니다. 이쪽은 탐정 셜록 홈즈 씨고요.""

호프의 얼굴이 굳어졌다. ""탐정""이라는 말에 긴장한 것 같았다.

[호프]: ""...제퍼슨 호프라 하오. 그냥 지나가다 잠시 쉬고 있을 뿐이오.""",,,,,CHOICE:ask_hope_wait_time|ask_hope_past_suspicious|main_entrance_after_hope
search_carriage,나레이션,,,"마차 주변을 살펴본다. 바퀴 자국이 깊게 파여있다. 적어도 하루는 이곳에 있었던 것 같다.

마차 안을 들여다보니 몇 가지 물건이 보인다. 담요, 물통, 그리고... 낡은 사진틀.

[홈즈]: 이 사람은 오랫동안 기다렸네. 무언가를... 아니, 누군가를.",,,,,CHOICE:ask_hope_name|main_entrance
watson_checks_walls,대사,watson,,"나는 저택 외벽을 천천히 걸으며 관찰했다.

1층 창문들은 모두 굳게 닫혀있다. 하지만 하나... 부엌으로 보이는 창문이 살짝 열려있다.

[왓슨]: (침입로로 사용됐을까?)

2층 창문 중 하나에 커튼이 펄럭이고 있다. 바람이 불어오는 방향과는 반대다.

[왓슨]: (내부에서 누군가 움직였나?)",,,,,watson_wall_discovery
watson_wall_discovery,대사,watson,,"그리고... 벽에 긁힌 자국이 있다.

최근에 생긴 것 같다. 뭔가 무거운 물건을 끌고 간 흔적처럼 보인다.

자국은 뒤뜰 쪽으로 이어진다.

[홈즈]: 잘 찾았어, 왓슨. 뭔가 운반했던 것 같군. 시체...일 수도 있고.",,,,,CHOICE:suggest_backyard_first|main_entrance
suggest_backyard_first,대사,watson,,"""홈즈, 뒤뜰을 먼저 조사하는 게 어떨까?""

[홈즈]: 흠... 논리적인 제안이야. 흔적이 신선할수록 단서도 많지.

하지만 내부를 먼저 확인하는 것도 중요해. 범행 현장을 보지 않고는 전체 그림을 그릴 수 없거든.

[왓슨]: 그럼 어떻게 하지?

[홈즈]: 자네가 결정하게. 자네 직감을 믿어봐.",,,,,CHOICE:back_entrance|main_entrance
watson_checks_lock,대사,watson,,"나는 정문의 부러진 자물쇠를 자세히 살폈다.

겉보기엔 폭력적으로 부숴진 것 같지만... 자세히 보니 이상하다.

자물쇠 내부의 핀이 정교하게 조작된 흔적이 있다.

[왓슨]: (이건 단순한 폭력이 아니야. 전문가의 솜씨다.)

홈즈가 내 어깨 너머로 고개를 들이민다.",,,,,holmes_lock_analysis
holmes_lock_analysis,대사,holmes,,"예리하군, 왓슨! 바로 그거야!

이 자물쇠는 부숴진 게 아니라 **열린** 거야. 그리고 부숴진 것처럼 위장한 거지.

범인은 자물쇠를 여는 기술이 있었어. 그리고 그걸 숨기고 싶어했지.

[왓슨]: 왜 숨기려고 했을까?

[홈즈]: 내부자가 아니라는 걸 증명하기 위해서겠지. ""외부 침입""처럼 보이게 하려는 거야.

그가 미소 짓는다.

[홈즈]: 하지만 우리는 이미 알아챘어. 범인은 이 저택에 대해 잘 알고 있다는 걸.",,,,,CHOICE:main_entrance|investigate_carriage
direct_entrance_choice,대사,watson,,"""홈즈, 시간이 아까워. 바로 들어가자.""

홈즈가 잠시 멈춰 선다.

[홈즈]: 서두르는 건 실수를 부르지, 왓슨.

[왓슨]: 하지만 백작의 목숨이 달린 일이야!

[홈즈]: 이미 늦었을 수도 있어. 그렇다면 더더욱 신중해야 하지.

그가 나를 똑바로 쳐다본다.

[홈즈]: 자네는 어떻게 생각하나? 신속함과 신중함 중 뭐가 더 중요할까?",,,,,CHOICE:rush_entrance|careful_investigation
rush_entrance,대사,watson,,"""아니, 나는 서둘러야 한다고 생각해. 만약 백작이 아직 살아있다면...""

홈즈가 한숨을 쉰다.

[홈즈]: 자네의 마음은 이해하지만, 감정은 때로 판단을 흐리게 하지.

그래도 홈즈는 따라온다.

[홈즈]: 좋아. 들어가보자고. 하지만 자네가 놓칠 수 있는 것들을 내가 챙기겠네.

우리는 정문을 밀고 들어간다.",,,,,main_entrance
careful_investigation,대사,watson,,"""...자네 말이 맞아, 홈즈. 서두르다가 중요한 걸 놓칠 수 있지.""

홈즈가 만족스럽게 고개를 끄덕인다.

[홈즈]: 현명한 판단이야, 왓슨. 자, 그럼 체계적으로 조사해보자구.",,,,,CHOICE:investigate_carriage|observe_surroundings
investigate_carriage,대사,watson,,"나는 마차로 다가갔다.

낡은 4인승 마차. 문은 잠기지 않았다.

안을 들여다보니... 좌석에 담요가 있다. 누군가 이 마차에서 잤던 것 같다.

[왓슨]: 홈즈, 이거 봐. 누군가 여기서 대기했어.

홈즈가 담요를 집어든다.

[홈즈]: 마차꾼의 것이야. 냄새가... 말과 가죽 냄새. 그리고... 담배.",,,,,CHOICE:ask_hope_name|search_carriage|main_entrance
back_entrance,대사,holmes,,"저택 뒷뜰로 나왔다.

뒷문은 잠겨있지만 문 자체의 유리창이 깨져있다. 

홈즈가 무릎을 꿇고 깨진 유리 조각들을 살핀다.

[홈즈]: 흥미롭군...

그가 유리 파편을 집어 들어 빛에 비춰본다.

[왓슨]: 무엇을 발견했나?

[홈즈]: 유리 표면에 먼지가 거의 없네. 게다가 파편의 단면이 아 선명하고... 바닥의 이슬에 젖지 않았군.

그가 창틀을 만져본다.

[홈즈]: 나무 프레임도 아직 습기를 머금지 않았어. 최근에, 아마도 어젯밤에서 오늘 새벽 사이에 깨진 것 같네.

내가 유리 조각의 방향을 본다.

[왓슨]: 파편이 대부분 밖에 떨어져 있군.

[홈즈]: 바로 그거야, 왓슨. 안에서 밖으로 깨진 거지. 누군가 안에서 탈출했거나... 무언가를 밖으로 던진 흔적이네.

정원 끝에 낡은 우물이 보인다. 그리고 옆쪽으로... 부엌 창문이 살짝 열려 있는 게 보인다.",backyard,,,,CHOICE:examine_broken_window|analyze_backyard_footprints|well|kitchen_window_from_backyard|meet_ellen|backyard_watched|main_entrance
analyze_backyard_footprints,대사,holmes,,"홈즈가 돋보기로 정원 바닥의 발자국을 살핀다.

[홈즈]: 세 사람... 아니, 네 사람의 발자국이네. 백작의 것으로 보이는 발자국, 그리고... 군화 자국. 큰 남자야. 

그가 잠시 멈추더니 또 다른 발자국을 가리킨다.

[홈즈]: 그리고 이건... 여성의 신발 자국이군. 작고 가느다란 발. 

나는 고개를 갸우뚱했다. 이 저택에 여성이 있다는 말을 들은 적이 없는데?

홈즈의 표정도 심각해진다.

[홈즈]: 흥미로운 조합이군. 집사의 발자국도 보이고... 하지만 이 여성은 누구일까?

홈즈가 발자국들을 따라가본다.

[홈즈]: 발자국들이... 부엌 쪽으로 이어지고 있어. 하지만 여기서 직접 가기엔 너무 진흙투성이군. 정문을 통해 돌아가는 게 낫겠어.",backyard,,,,CHOICE:examine_broken_window|well|main_entrance
examine_broken_window,대사,holmes,,"홈즈가 돋보기를 꺼내 창틀과 유리 조각을 면밀히 조사한다.

[홈즈]: 보게, 왓슨. 여기 창틀에 작은 혈흔이 있네.

내가 가까이 다가가 본다. 정말로 창틀 모서리에 갈색빛 얼룩이 묻어있다.

[홈즈]: 누군가 급하게 탈출하 손을 다친 것 같군. 그리고 이걸 보게...

그가 바닥의 발자국을 가리킨다.

[홈즈]: 창문 아래 땅이 부드러워서 발자국이 남았네. 성인 남성의 것이야. 걸음걸이로 보아... 급하게 도망친 것 같군.

[왓슨]: 범인의 것일 수도...?

[홈즈]: 가능성은 있지. 하지만 단정하기엔 아직 이르네. 더 조사가 필요해.",backyard,,,,CHOICE:analyze_backyard_footprints|well|main_entrance
main_entrance_after_hope,나레이션,watson,,호프와의 대화를 마치고 저택 안으로 들어선다.,,,,,main_entrance_after_hope_2
main_entrance_after_hope_2,나레이션,holmes,,"자, 이제 본격적으로 조사를 시작해볼까.",,,,,main_entrance_after_hope_3
main_entrance_after_hope_3,나레이션,holmes,,서둘러야 할 것 같군.,,,,,CHOICE:study_room|checkpoint_go_upstairs|kitchen_entrance|back_entrance|inn_entrance|holmes_hint_playcount_2
study,나레이션,holmes,,"서재는 낡은 책들로 가득 차 있다. 벽에는 ""RACHE""라는 글자가 핏자국으로 쓰여 있다. 홈즈가 조사한다. 책장 뒤에서 뭔가 직는 소리가 들린다.",study,,,,CHOICE:discover_stangerson|examine_rache|examine_bookshelf|main_entrance
examine_rache,대사,holmes,,"홈즈가 글자를 살핀다.

[홈즈]: RACHE... 독일어로 복수를 뜻하지. 

[왓슨]: 범인의 메시지일까?

[홈즈]: 그럴 수도 있지. 하지만... 혹시 종교적 상징일 가능성도 있어.

그가 핏자국을 자세히 관찰한다.

[홈즈]: 글자체가 의례적이야. 마치... 의식의 일부처럼 쓰여졌어.

그때 책장 뒤에서 움직이는 소리가 들린다.

[홈즈]: ...누가 있소?",study,,,,CHOICE:discover_stangerson|ask_stangerson|examine_bookshelf|main_entrance
safe,나레이션,holmes,,"금고는 잠겨있다. 4자리 숫자 조합이 필요하다. 홈즈가 말한다. ""일기장에 힌트가 있을 수 있네.""",,,,,CHOICE:hope_diary_discovery|safe_opened|safe_opened|study
safe_opened,나레이션,watson,,"금고가 열렸다! 안에는 여러 물건들이 들어있다.\n\n홈즈가 안을 살피며 말한다. ""여기... 청동 열쇠가 하나 있군. 그리고...""\n\n그가 먼지투이의 낡은 장부를 꺼낸다.",library,,,,CHOICE:acquire_ledger_safe|acquire_basement_key_safe|study_general_investigation
study_genealogy_investigation,대사,watson,,"벽면에 걸린 백작의 가계도를 살펴본다.

[왓슨]: 이건... 백작 가문의 족보군.

정교한 필체로 적힌 300년의 역사...

모로 백작... 그리고 그 아래 ""엘렌""이라는 이름이 보인다.

홈즈가 다가와 가계도를 만져본다.

[홈즈]: 흥미롭군, 왓슨. 이 부분의 종이만... 미묘하게 얇아져 있어.

그가 빛에 비춰본다.

[홈즈]: 누군가 날카로운 칼로 이름을 긁어낸 흔적이야. 그리고 그 위에 덧쓴 잉크... 광택이 아직 살아있군.

[왓슨]: 위조라는 건가?

[홈즈]: 수정이라고 해야겠지. 하지만 왜 그랬을까? 무엇을 감추려 한 걸까?

홈즈가 엘렌의 어머니 란을 가리킨다.

[홈즈]: 그리고 이것 봐. 어머니 란이 비어있어. 보통은 혈통을 증명하기 위해 양쪽 부모를 모두 기록하는데...

[왓슨]: 이게 무슨 뜻일까, 홈즈?

[홈즈]: 아직은 모르겠어. 하지만 백작이 뭔가 숨기려 했다는 건 확실하군.",study,,,,CHOICE:acquire_genealogy_clue
acquire_genealogy_clue,나레이션,watson,,"**[획득: 위조된 가계도 증거]**

백작과 대화할 때 ""엘렌의 출생""에 대해 물을 수 있습니다.",study,,,,CHOICE:study_room
kitchen_floor_investigation,대사,watson,,"바닥을 살핀다.

[왓슨]: 홈즈, 여기 보게.

[왓슨]: 진흙 묻은 신발 자국이 있어.

홈즈가 무릎을 꿇고 자세히 본다.

[홈즈]: 런던 교외 지역의 점토질 진흙이야.

[홈즈]: 이 저택 정원의 흙이 아니야.

[홈즈]: 누군가 어젯밤 외부에서 들어왔어.

[홈즈]: 그것도... 급하게.

홈즈가 발자국 방향을 따라간다.

[홈즈]: 부엌에서... 지하로 향하는 계단 쪽으로 이어지는군.",kitchen,,,,CHOICE:acquire_mud_sample
